subject,description,searched,problem
Guess the Number,"max = 1000
correct_answer = rand(0..1000)  

while true
  print ""Guess a number between 0 and #{max}: "" 
  response = gets.chomp

  puts correct_answer
  perfect_response = response.to_i


  case 
  when response.to_i.to_s == response
    puts ""Invalid, input must enter a number between 0 and #{max}.""
  when perfect_response > correct_answer
    puts ""Too high, try again.""
  when perfect_response < correct_answer
    puts ""Too low, try again.""
  when response == response.to_s
    puts ""Invalid input, must enter a number between 0 and #{max}.""
  else 
    if perfect_response == correct_answer
    puts ""Congratulations, you guessed the number!""
      break
    end
  end
end
",response.to_i.to_s == response,I'm having difficulty with the input valid criteria. I've tried writing several different conditional statements and place them either outside of loop or within my case when construct. Each time I'm not getting the output that I'm hoping for. 
Ruby reverting to version 1.8.7,Ruby reverting to version 1.8.7,Stackoverflow,not sure
funky iteration of code,"Here is the problem at the output: Entering an incorrect guess ONLY after a duplicate guess results in an affirmative statement that the letter IS in the word when it is NOT. It also neglects to deduct from the number of guesses remaining. The winning word is set to 'robber' for testing. 


$ ruby hangman.rb
Lets play Hangman!
Your word has been selected

To win, guess the word, by typing the word.

You may also guess letters one at a time.

 You have 9.0 guesses. Guessing wrong will cost you
Guessing the same letter twice will cost you

This is the word so far:   ______  . Guess a single letter (a-z) or the entire word:
r
The word has that letter!

This is the word so far:   r____r  . Guess a single letter (a-z) or the entire word:
b
The word has that letter!

This is the word so far:   r_bb_r  . Guess a single letter (a-z) or the entire word:
b
You already guessed that! Try again
You have 8.0 guesses left
x
The word has that letter!

This is the word so far:   r_bb_r  . Guess a single letter (a-z) or the entire word:
n
SORRY!
You have 8.0 guesses remaining

This is the word so far:   r_bb_r  . Guess a single letter (a-z) or the entire word:",My soul. I don't even know what I would ,My validating method affects some stored variable. 
Assignment 195: Ruby variables,"if age >= SENIOR_AGE_LIMIT
  if age <= CHILD_AGE_LIMIT
    ticket_price = 7.00
  else
    ticket_price = 10.00
  end
else
  ticket_price = 10.00
end",I put it into a Ruby  file and tried out different ages,There seems to be a logic flaw here. A senior needs to also be a chid to get $7 tickets and vice versa.
Mass Health study,I'm trying to figure out if I am supposed to separate all the towns into hashes with identical attributes in the seeds.rb.,the previous project,I'm slightly confused.
Using a pipe to grep for just directories,hello,"We have looked through ""man grep"" and googled for a few terms: grep for directories, grep for all directories, grep files exclude directories","We thought this would work ""ls -l | grep -d"" but it looks like grep expects another argument. In order to pull in ALL directories, we thought that we might need to add a wildcard (e.g. ""ls -l | grep -d"") but that returns the message ""unknown --directories option"".

Not sure what else we should try at this point?"
Ruby exercise: guess the number game,"I have been able to write a program that works in most cases (where the user inputs an integer, it always works), but there are some cases where the program incorrectly interprets invalid input as a valid input, specifically when invalid input begins with a number (e.g. the program interprets '12abc' as an integer). ","I have tried searching on Stack Overflow for how to tell whether something is an integer or a string, but none of the solutions I found applied to my program.","I tried to create my own solution for how to interpret invalid input, but I think that something with the way that I wrote it is not working properly. Here's what I wrote to interpret whether the user input an invalid response: 

guess = gets.chomp
if (guess + 1.to_s).to_i < 1
puts 'Invalid input'

The reason why I've written this is because a problem I came up against is that when you use .to_i on a string that cannot be directly converted into an integer, Ruby converts it to 0. I wanted a way to differentiate between a user inputting '0' and 'abc'. If they enter '0' and you add the string '0' to the string '1', the result is '01'. If you convert that back to an integer, you get 1. If they enter 'abc' and you add the string 'abc' to '1', the result is 'abc1.' If you convert that to an integer, you get 0. This line of code will then know that if they have entered an invalid input (something that cannot be converted directly to an integer), it will satisfy the criteria of the resulting integer being less than 1 and they receive the error message. If they enter 0, it goes into the next set of if statements about whether their input is greater than or less than the correct response. 

I'm guessing the reason why Ruby interprets an input of '12abc' as being a valid input is because if you run the input of '12abc' through this piece of code, you get '12abc1'. Ruby keeps the 12 as 12, and sees the rest of the string as 0, so it interprets '12abc'.to_i as 12. I can't figure out how to write something where an invalid input like '12abc' is always interpreted correctly.

"
change machine - how to implement a method,"https://gist.github.com/lauyeung/cb3ee8e7fc3a4347977c

I submitted my code here, but I'm SURE there's a way to use a method to improve the while loop. However, I'm confused about how to do it.
","I've looked through previous examples of methods, while loops, etc.","I think I'm getting greedy on the number of return values I want my method to spit out - I think I could split it into multiple methods, but then it looks like the program just ends up as long if not longer than as it stands now?

Maybe I'm thinking about methods completely wrongly! Let me know!!"
migration marathon - foreign keys,I'm not sure how to do this.,"Google, Stack Overflow, RoR Guide","I'm just not sure if I should be doing a ""belongs_to"" ""has_many"" relationship or if I'm supposed to do a foreign_key relationship??"
Git Upload,"I'm having trouble uploading my entire slacker_news to GitHub. The file I've committed and that's in my repository is missing a few stylesheets. I'm not sure how that happened... Also, we need some help re-working our Rails folders. When we view the pages in the browser, our main page and comments page are right on top of each other on a single page. We're pretty sure it's due to Rails organization.","Google, GitHub help, Apollo assignments, Lindsay","Terrible Rails organization (accidental!), and possibly the same thing for the GitHub uploads"
return value from my method won't puts,"My method returns a value, but it isn't being puts in the puts statement:
puts ""2 Years of Insurance: #{property.insurance_cost(2)}""",binding.pry,"not sure, the other ones work =("
not seeing the columns I added in add_tempo,"i go to the songs db and i don't see columns songs, tempo, integer",rails guides,i don't know
Data went missing for Song,"It worked, and then i restarted it, then all data was gone",google,Perhaps didnt save?
ruby validation,I cant get it so if I type in a word it displays and error,http://stackoverflow.com/questions/1235863/test-if-a-string-is-basically-an-integer-in-quotes-using-ruby,I don't know where to add the workl
Hangman,"https://gist.github.com/ksdaly/6ae6eadb7b32ead9fa3d
I am trying to put the logic for asking if the user wants to play another game into another_game method. I have defined another_game that should return either true or false and am having an if statement within the play_game method to implement break from there. ",I added test.rb file to gist that works just like I'd like,"It doesn't exit if I enter ""n"" when prompted. Instead it just restarts the game."
getting burbon and normalize to work,need to get these to link to our page,google,problem with the lnks
Question about the morning Kata,I am unsure whether the class we are building should take a data structure with all of the property information or whether it should be handed a data structure with just data for one property at a time. ,"The instructions, and my head. ",I think perhaps I am over thinking the class?
Rspec,"I'm not sure how to format the markers.

I have a Cart class that should have a total_value of zero when it's empty.  Not sure how to call the ""total_value"" method from within rspec",Rspec docs and some other tutorials,I just don't know what to type
Teacher Assistent,I am trying to have a CSV file data put into a hash,"Google, stackoverflow",The structure of the csv data is going in backwards
intro to models,Questions about tweaking the migration files,n/a?,n/a?
ABC kata,https://gist.github.com/ksdaly/a1c2e2284f356da6115a,stackoverflow etc.,It works! Slowly though. I'd love Jason looking into it and give me feedback. 
Mortgage assignment,Having errors printing out the values of my arrays,Stack overflow,Something with NilClass and <<
putting data to a new line,I need help pushing data into a new line. My csv is pushing it all to one line,www.google.com,pebtkc
Breakable Toy,I am having a model that logs all changes a user makes int he user model. Need help wiring it together.,thought a lot about it,problem with association model
Accessing github,I am getting 'Permission denied (publickey).',I looked up how to setup ssh to github,I think my computer is not connecting correctly to my github account.
Introduction to Rails App Structure: invalid link to repo,"http://apollo.launchacademy.co/assignments/git@github.com:LaunchAcademyEDU/explore_rails.git

displays ""The page you were looking for doesn't exist.""",n/a,invalid link
Coffee and Microwave outlet not working,"So yeah, the outlet for the microwave and coffee machine is no longer working. Not sure who to ask.

I think we've got a couple hours till caffeine withdrawal kicks in...",N/A,N/A
Question about a code example in Apollo - Exploring Arrays,"The example below is using a boolean value in an ""if"" statement and I'm surprised that called ""winner"" by itself is functioning. I would like to review what is happening with an EE. 

LOTTERY_NUMBER = 539

picks = [117, 806, 231, 911, 544, 538, 803, 540, 131, 763]

winner = false

picks.each do |x|
  if x == LOTTERY_NUMBER
    winner = true
    break
  end
end

if winner 
  puts 'You win!'
else
  puts 'Better luck next time...'
end",boolean values,"The boolean value negates the need for?

if winner == true "
Slacker News: CSS,"We have an html element that we want to move closer to other elements and we can't find any padding, borders, margins that would prevent this but we can't get the element to move!

Oddly, we can use margin left/right to move those directions but top/bottom don't work.","We have tested CSS padding, margins, etc. Also googled for why margins/padding weren't taking effect",Not too sure - maybe a containing element is preventing this element from moving??
Hangman,"See Gist: https://gist.github.com/bcutrell/7ee489a4a9881e2bbf81

* reading how many occurrences there are of each letter
* correctly closing out the loop when the answer if correct
* validating that the user has not already used that letter","overflow, google, pine, black, rubymonk, codeacademy",Not connecting the dots in my turn method between the if and elsif statements
Shorter version of if condition?,"if value == owner.last.chop  && (owner.include?('A♠') == true  ||   owner.include?('A♣') == true  ||  owner.include?('A♥') == true  ||  owner.include?('A♦') == true )


",Shorthand for long conditional statements,It works! But the syntax seems unwieldy.
Mailing list exercise,"I have all of the various arrays stored into a single array, but need assistance pulling the info for the resultant hash.","google searched = ""convert array to hash"" and read through stackoverflow","The problem is that I am not sure what the correct procedure it. Here's the gist link of what I have thus far: 
https://gist.github.com/mark-hay/a8421682a5707d06d876"
Doghub: HTML & CSS & Neat,"https://github.com/ksdaly/doghub

",used chrome inspector,"I have a problem with the footer. I am using neat and setting up outer container and having 2 divs each 6 span-columns wide. Somehow footer is ~100px narrower than the rest of the divs on page that span 12 columns. I suspected gutters, but I am not using omega on the footer divs. "
formatting error,assignment 227 near bottom,n/a,markup is wrong
Turning the AC down,Any chance we can bump the thermostat up one or two degrees?,Mind-control...parkas...polar bear skins for sell ,I'm distracted by the code and can't be a coding ninja 
Today's Kata - Hashes,I am having a hard time working with hashes within arrays. ,Iterating over a hash within an array,My syntax must be wrong. 
Arrays of hashes,I am doing the mailing list kata and I am having problems with saving a hash I created.,I am using hash.store method,My array only displays the last hash when I exit the loop.
hash selection,"Just would like a more detailed explanation of selecting and using the selections of key/value pairs

Help with address kata","looked for select method, ruby docs, stack overflow, google","Not sure, would just like to make sure I am thinking about it correctly"
working with hases,i cannot get my .each method to work correctly on the hash,other types of methods,don't know
Card Class,Why would you have a card class for a Ruby BlackJack game? I don't see it's purpose. The deck seems to suffice. ,My brain,Extra classes
Apollo Instructions,"What does this mean: Write an instance method for the DryEraseMarker class that checks to see if the marker has ink remaining. It should return a boolean value.

I just need some clarification, yo.",Apollo. Sam is busy.,Instructions are unclear to me...
shuffling the deck,"https://gist.github.com/lauyeung/a929626a4b875b07cdd1

When I create a new deck (e.g. deck1), each time I run the program, if the shuffle doesn't have the !, deck1 is the same every time I run the program. I don't understand why the ! makes the shuffle different each time the program is run - I would have guessed the opposite behavior (where ! means the same deck appears during each program run).",Array.shuffle ,Not quite sure here. Maybe deck1 is the same object so it gets the same shuffle?
mortgage kata,passing a hash into an object,"stack overflow, google ",nilclass trouble
Teacher Assistent,I am trying to get the average of an array,Google and stackoverflow,"I think the problem is that the array is the value of a hash, and that is all in one big array, so im trying to do each for the values, then each after that, and i think im messing up there."
can someone take a look at my blog data model before i migrate?,"i have my models but before i start migrating/testing, can someone take a look to make sure i'm on the right track?",n/a,n/a
Server not running w/ Postgres,"In RSpec With Models Basics exercise:

Why do I keep getting...

""could not connect to server: No such file or directory
	Is the server running locally and accepting
	connections on Unix domain socket ""/var/pgsql_socket/.s.PGSQL.5432""?""

...when I try to rake db:create my Birds app?",N/A,N/A
abc challenge,"I caaaaan't geeet staaaarted...
Actually, that's a lie, I have scribbles and some pseudocode

but it's going nooooowhere...halp",my empty brain,lack of brain action
Capybara and testing,"after changing the location, how do you check if the id's are still the same?",N/A,N/A
I'm on Ruby 1.8.7,Dan said to submit a help request if we were on anything other than Ruby 1.9.3 or Ruby 2 ,Not yet - just listening to the almighty Dan! =),I'm not using the right version of Ruby =(
Ruby Update,"Ruby --version returns 1.8.7

Ruby use current --default returns ruby 2.",Dan told me to.,If only I knew.
Need Ruby version update,I'm on ruby 1.8.7,n/a,old version
Instance methods,"Apollo exercise asking us to ""Write an instance method for the Whiteboard class that erases the whiteboard""",ruby-docs,"I think I need to do something like:
    def erase
     contents.delete
    end

Not sure if this is correct."
"How to use the ""like"" modifier in the Rails console","I'm not sure what the question mark in the below command does:

Song.where(:artist => ""Chet Baker"").where(""year < ?"", 1980)

I'm also not sure how to use this particular approach to run a query using LIKE ",Rails Console and previous Apollo assignments,Not sure
Methods and Classes,"I wanted clarification on:

1) def initialize(argument)
@argument = argument
and how many instance variables can be here without putitng in another argument

2) private methods

3) using the above instance methods around the class
4)attr_reader/writer
5) using instance methods outside the class",Googl,Lack of clarity
Mailing list kata,"I'm trying to find a way to add keys to a hash by pulling from an array (not even sure if this is possible or the best way to create a hash). Specifically, in trying to create a hash for each person for the mailing list assignment, I created an array of the keys for each hash (['salutation','first_name','last_name','address'], and I'm trying to use this to create individual hashes for each person using the .each method, but I've only been able to get it to work for the the first person. For some reason it's not looping through all of the indexes in the original arrays provided to us in the assignment (e.g. I'm only able to create a hash for John Dillinger).
","I have searched Ruby documentation, StackOverflow, and I have asked my pair.","I think there is a problem with the way I have set up the .each method and where I am increasing the index  number for the arrays. I have tried to restructure the .each method several times, and no other configuration I can come up with seems to work. "
Intro to Pivotal Tracker Page,"Integrating Pivotal Tracker and GitHub > Follow the ""Manage"" tab, then navigate to the ""Service Hooks"" section.

This should say: Follow the ""_Settings_"" tab, then navigate to the ""Service Hooks"" section...",n/a,The directions aren't completely correct.
Guess the Number (DRY & Regex),I want to make my code DRY and use regex to validate that the user can only enter digits. ,"Regex, Ruby doc, stackoverflow",I don't understand how to apply a regex statement.....
Whiteboard,"I'm confused why the initialize method has an argument that is creating a new contents array, but then you don't have to call an argument when you put Whiteboard.new.  ",I asked Doug and I still don't get it,I have no idea. I know there are two new classes being created.  The write method is super confusing because I don't know what contents is doing.
using bootstrap,"I've started a project to fiddle around with bootstrap, but I'd like more guidance on how I can effectively use this awesome tool","watched the railscast, looked through some stack overflow",I've gotten to an ok-ish place - I just want some hints in doing more with bootstrap and figuring out how to customize how it looks! =)
OO Blackjack,I am confused as to what the card object should be used for.,N/A,I do not have  a full understanding of the necessary objects for the game Blackjack.
yesterday ahhhh,"Talked about it a little in mentor group this morning..would be helpful to have one on one review.

**request jason","My brain, other peoples brains, notes, internet","I'm having trouble understanding the bigger picture of how migrations, databases, and SQL work.  I can see what happens and understand what happens when I type the code Apollo says to into the command line but I have no idea why I'm typing it or how its working.  Also, I know models, views and controllers are involved but I also don't fully grasp how...helpppp meee."
atm - reading/writing from a csv,I'm stuck trying to figure out how to store data for accounts and access that information.,looked through http://ruby-doc.org/stdlib-1.9.2/libdoc/csv/rdoc/CSV.html,I want to write an array of hashes to a CSV which isn't happening very well. I think I am going down the wrong path for storing account information...
Migration,I have a migration that I don't want to run (removed the column before). Whenever I try to seed the db it wants to re-run that migration to add the column back. How do I make that migration I guess something like inactive so that rails doesn't keep thinking it needs to be run again?,ActiveRecord Migrations Docs,Rails wants to keep running the migration again. 
Breakable toy schema,I'd like to discuss my breakable toy schema with Jason,I have a blueprint,I'd like to have an opinion.
EE Assistance,"Hi, we need some assistance regarding testing of the validity of the check in/out file.

Thanks!",N/A,N/A
restaurant 3,comment controller,railscast nested elements,controller pointing to wrong views
"""gem install rails"" fails","Omars-MacBook-Air:new_folder oismail91$ gem install rails
Successfully installed rails-4.0.0
1 gem installed
Installing ri documentation for rails-4.0.0...
Installing RDoc documentation for rails-4.0.0...
ERROR:  While generating documentation for rails-4.0.0
... MESSAGE:   error generating /usr/local/rvm/gems/ruby-2.0.0-rc2/doc/rails-4.0.0/rdoc/guides/Rakefile.html: Error while evaluating /usr/local/rvm/gems/ruby-2.0.0-rc2/gems/rdoc-3.12.2/lib/rdoc/generator/template/darkfish/page.rhtml: undefined method `chomp' for nil:NilClass (RDoc::Error)
... RDOC args: --op /usr/local/rvm/gems/ruby-2.0.0-rc2/doc/rails-4.0.0/rdoc lib --title rails-4.0.0 Documentation --quiet",None,Installing Rails didnt work.
Whiteboard,Can't get the erase method to work,I've just played around with the code,I think I need to wipe the board so when I write on the whiteboard again the words that were there previously are erased.
Database modeling,"Need help developing data model with Postgres for a group project (me, Graham, Richard, Kyle)","Google, Stack overflow",We don't understand enough about data modeling yet
SQL Assignment,"I tried inputting the song data and calling it, didnt work",Gogole,Incorrect data entry?
subl command line,subl list.md opens sublime but does not open list.md in it,http://gilesbutler.co.uk/oh-my-zsh-sublime-text-2-command-line/,"oh my zsh alias subl to some ul function. I've corrected that with:

# Example aliases alias -g subl=subl

in the .zshrc file

Still doesn't work!"
"In the Spaces, Not Tabs activity.",Error trying to parse settings: Unexpected trailing characters in ~/Library/Application Support/Sublime Text 2/Packages/User/Preferences.sublime-settings:6:1,Google,Seems to have an issue saving.
SQLite updating,"Louise and I can't figure out how to complete the quick challenge in the ""Rails Order and Limit"" assignment. We are hoping for a suggestion or two of how to go about this.","google, stackoverflow",We're unsure of how to begin.
models - default values,is there a way to inherit a default value from another field in my database?,"Googling ""rails activerecord default value inherited"" and variations",n/a
Intro to Models assignment,"""The magic comes from the name of the class (Task) which ActiveRecord will use to find a table in the database named tables.""

Shouldn't the table name be ""tasks"" and not ""tables""?",n/a ,typo
BlackJack Assignment (methods),I have gotten to a point with the blackjack game where my partner and I are a bit stuck. ,We have tried to think of ways of simplifying the game. ,We have over complicated the problem (over-wrote code). 
Constant Question,"I am trying to use a constant but keep getting an ""uninitialized constant"" error. Not quite sure why...","Ruby Documentation, Stack Overflow",I think I am missing something but not sure what. 
Hangman,"I am this close to finishing this game. I'm not getting the output that I expected regarding a method I created. I created a method ""letter_reveal"" that should display the letters within the hangman word. 

https://gist.github.com/TechnoAlchemist/c37d1d44e45688b284af",I nested the tr method within my method class. ,I think that my problem has to do with not passing the correct arguments for the tr method on the string object. I also suspect that I am not calling method properly within my conditional branch. 
Test won't pass,I have copied the code from the apollo exercise and the associated test won't pass. ,RSPEC Documentation,Not quite sure at this point. 
slackernews textbox,My input to the textbox starts at the middle-left of the box instead of the top left.,textbox css,perhaps some sort of conflict between forms.
SCSS formatting,I am having trouble making an ordered list behave the way I want. Numbers and list items are on separate lines.,"Searched for ""css list items and elements on separate lines"" and i'm getting results for doing that, but I want the opposite","My CSS formatting skills suck, and I need help."
Code review for blackjack?,We have a working blackjack and would love some input!,"Each other, our souls",It's working pretty good. 
Figuring out 'offset',"I thought I knew what offset does but then the following command returned Song_ID 11 & 12. 
Song.find(:all, :limit => 2, :offset => 2)

I also need help with the following quick challenge:
Quick Challenge: write a quick method that will retrieve the records in the Songs model, two at a time, and display their artist and title",Apollo ,"I THOUGHT offset would return the records starting at the ""offset"" integer. So :offset => 3 would start at the ""4th"" ID. "
masshealth,seeding,everything,confused
Seeding SQL database,I am having an issue with seeding the sqlite3 database step in More Basic SQL commands.,seeding sqlite3,Not sure...
Mortage Calc,Some math error somewhere is causing all of my houses to require PMI. ,All my code.,"Math error, but I can't find it. "
Pig Latin Kata,"I'm trying to construct the "" starts_with_vowel? "" method and I can't get my method to return the concatenated word. For example, ""us"" should be ""usway"". 

Gist: https://gist.github.com/SViccari/4adf4a6e92d4f686b4d6","Ruby docs, stackoverflow","My result is an array within an array, which might be confusing the method "".start_with "" but I'm not sure why it's returning an array with an array. "
Understanding Methods and Classes,Having confusion wirh calling them,"Google, articles",lack of understanding
Validation concerns w/ scoped records,"help us!

<3 lin and conner

controller issues",N/A,N/A
"computer keeps ""sleeping"" when display is attached",times out every 30 seconds or so,I have asked other students,not quite sure.  hardware issue?
Stuck on last issue for broken test suite exercise,I am trying to complete the broken test suite exercise from Apollo. There is one last item and I can't seem to figure out the proper syntax. ,ActiveRecord documentation,I think I don't now the correct syntax but understand the problem. 
Circle code,Just want to make sure I am heading in the right direction.,Apollo lessons from yesterday on classes and instance methods.,Not sure if my code is written properly. Gist here - https://gist.github.com/mark-hay/2e39e91b9e6ceb8fb59f
routing problem,"here is the error message
uninitialized constant WelcomeController",stack overflow (google),"The controller was not actually created.  tried running it twice
"
rvm ,"RVM gives instructions that make it crash
",instructions,i dont know how to use rvm
mailing list kata - extra challenge,"I thought the way to do this was to add an ""if"" while printing out the mailing list to find the arrays but it's not working and returns an error:
test.rb:21:in `[]': no implicit conversion of Symbol into Integer (TypeError)
	from test.rb:21:in `<main>'

","checking for arrays (is_a, kind_of)",not sure...something weird is happening with finding out the class type of the array inside a hash inside an array...?
Basic HTML & CSS Layout - Part 4 - Styling the Navigation using the box model,"working on trying to get the items in the ""filters"" block to spread out evenly without looking incorrect.",Treehouse and searching through the HTML & CSS book,"In the filters container, for some reason I cant get the elements to space with proper padding. If I add padding it expands too much.

css gist - https://gist.github.com/mark-hay/c17ee3ba85c46a0bfd68
html gist - https://gist.github.com/mark-hay/baef955ea4c0e507cd45"
sqlite3 new_database.db,"Assignment says that a new file is created after running sqlite3 new_database.db

It doesn't seem to do so until after doing .databases and .tables",Talked to Steph,No clue
Hangman,I'm hitting a mental wall and I'm having trouble thinking through how to set up the next portion of my code. ,"Ruby docs, stackoverflow, previous code written during lectures, Learn to Program (Chris Pine)",I'm having trouble breaking down the problem so I know how to code the next step. 
password for postgres,cant rake db:create,instructions,have not specified a password
Vote for fun pull request,"Trying to issue pull request on Github after fixing bugs, committing changes, then pushing branch. It says that both master branches are identical",Google,May have made done the wrong git commands
teacher assistant,need to sort by last name,sort methods,"can't figure out how to split the name, then sort them..."
Fixing my computer,"All my gems are gone, including rails. Can't reinstall rails",Looked online but the solutions didn't work,I think I may have done something with PATH
Quick Challenge,I'm not sure if I am tackling the challenge correctly. ,Google,I think I may not quite understand the directions clearly. 
class << self,"I don't grasp the purpose of this code...

class << self",Apollo & stackoverflow,I'm honestly not sure what is happening....or why. 
Class Method Quick Challenge,Help with making the self.valid_makes? reference the hash made in self.valid_makes,Assignment,Unable to reference the hash key and value seperately
Steph and I would like to make a reservation for help on Blackjack OO for after Sam's review :),"Confused on when to make classes

Current black jack is tons of methods...",Apollo and other students,Need review
